:ID,name,:LABEL
n150,当水库坝前水位即将达到超标准洪水且有上升的趋势,Entity
n151,启动防御超标准洪水预案,Entity
n152,当水库坝前水位超过设计水位,Entity
n153,当万安水库水位超过防洪限制水位 145.0m,Entity
n154,开启溢洪道,Entity
n155,水位达到 163.5m 且预报有大雨,Entity
n156,下达调度令开启溢洪道,Entity
n157,启动上下游群众转移预案,Entity
n158,当水位达到紧急避险水位 167.5m,Entity
n159,组织下游受威胁群众有序转,Entity
n160,当库水位降至死水位 85.0m 以下,Entity
n161,开启工业取水闸,Entity
n162,水库水位在 338.12m 以下,Entity
n163,库水位急剧上升,Entity
n164,巡视一次,Entity
n165,库水位达到 60.48m 及以上,Entity
n166,关闸蓄洪,Entity
n167,水位超过 165.50m 且仍有上涨趋势,Entity
n168,排沙,Entity
n169,库水位超66.33m,Entity
n170,库水位处于 150m 至 155m 之间,Entity
n171,采取错峰调度方式,Entity
n172,开启放水底孔排沙,Entity
n173,库水位超过60.00m,Entity
n174,水位达到355.12m,Entity
n175,当水位达到紧急水位,Entity
n176,通知下游作好防洪避险准备,Entity
n177,库水位高于 61.22m,Entity
n178,敞泄,Entity
n179,库水位达到 62.99m 及以上,Entity
n180,加大下泄流量直至闸门全开敞泄,Entity
n181,2）当水库遇超过 P=2%的洪水（设计洪水标准）或库水位超65.31m,Entity
n182,全开泄洪,Entity
n183,水库最大下泄流量不超过 50m³/s，当水库水位位于 62.99～64.73m,Entity
n184,水位超过104.5米,Entity
n185,进驻新安江水库,Entity
